experiment_id,timestamp,batch_size,shuffle_buffer,epochs,learning_rate,dropout_rate,l1,l2,train_loss,val_loss,train_accuracy,val_accuracy,training_time_min,acc_normal,precision_normal,recall_normal,f1_normal,acc_benign,precision_benign,recall_benign,f1_benign,acc_malignant,precision_malignant,recall_malignant,f1_malignant
1,2026-01-26T12:09:50.328973,16,1000,5,9.999999747378752e-05,0.4,0.0,0.0,0.7882928252220154,1.495296835899353,0.7333273887634277,0.46823742985725403,7.6473075668017065,0.4638374178123132,0.9630778777536456,0.4638374178123132,0.6261220373171962,0.444253859348199,0.115625,0.444253859348199,0.1834927382217499,0.5749385749385749,0.10545290671473637,0.5749385749385749,0.1782178217821782
2,2026-01-26T12:22:34.263378,16,1000,5,9.999999747378752e-05,0.4,0.0,0.0,0.7895691990852356,2.384368896484375,0.7341325879096985,0.5244727730751038,7.663475235303243,0.531679617453676,0.9919152495121272,0.531679617453676,0.6922852417550346,0.17152658662092624,0.15673981191222572,0.17152658662092624,0.1638001638001638,0.9115479115479116,0.10731848423488574,0.9115479115479116,0.19202898550724637
3,2026-01-26T12:36:39.953145,16,1000,5,9.999999747378752e-05,0.4,0.0,0.0,0.7826235890388489,1.8227300643920898,0.7370492815971375,0.5426971912384033,7.639288250605265,0.5543933054393305,0.9927749531709927,0.5543933054393305,0.7114776105091571,0.12178387650085763,0.12932604735883424,0.12178387650085763,0.1254416961130742,0.9533169533169533,0.11425206124852769,0.9533169533169533,0.20404943465684985
4,2026-01-26T12:56:43.614748,16,1000,5,9.999999747378752e-05,0.4,0.0,0.0,0.7885779142379761,2.736854314804077,0.7389460206031799,0.6041395664215088,6.335730576515198,0.6319485953377166,0.9782558408512607,0.6319485953377166,0.7678620063549705,0.07204116638078903,0.2048780487804878,0.07204116638078903,0.1065989847715736,0.9090909090909091,0.11731135066582118,0.9090909090909091,0.20780679584386408
5,2026-01-26T13:10:37.089962,16,1000,5,9.999999747378752e-05,0.4,0.0,0.0,0.7797120809555054,0.7768505215644836,0.7442605495452881,0.6948711276054382,6.29702037970225,0.7222056186491332,0.9924024640657084,0.7222056186491332,0.8360145303580695,0.34133790737564323,0.1875589066918002,0.34133790737564323,0.24209245742092458,0.7518427518427518,0.17475728155339806,0.7518427518427518,0.283595922150139
6,2026-01-26T13:20:34.577077,16,1000,5,9.999999747378752e-05,0.4,0.0,0.0,0.7955881357192993,2.749941110610962,0.7335957884788513,0.5689924359321594,6.29731806119283,0.592498505678422,0.9782876881322478,0.592498505678422,0.7380176826430898,0.04288164665523156,0.22321428571428573,0.04288164665523156,0.07194244604316546,0.9361179361179361,0.10833096388967871,0.9361179361179361,0.19418960244648317
7,2026-01-26T13:33:43.662987,32,1000,5,9.999999747378752e-05,0.4,0.0,0.0,0.778996467590332,0.8376511335372925,0.7360114455223083,0.6206716895103455,5.774968457221985,0.6286610878661087,0.9882546394174301,0.6286610878661087,0.7684720065759431,0.6740994854202401,0.14566345441067458,0.6740994854202401,0.2395611094178604,0.41277641277641275,0.2310866574965612,0.41277641277641275,0.2962962962962963
8,2026-01-26T13:40:50.744754,32,1000,5,9.999999747378752e-05,0.4,0.0,0.0,0.7898516058921814,0.5185267329216003,0.7303569912910461,0.796146810054779,5.809916381041209,0.8481769276748357,0.9558773997979118,0.8481769276748357,0.898812351543943,0.6449399656946827,0.24180064308681673,0.6449399656946827,0.3517305893358279,0.15724815724815724,0.3386243386243386,0.15724815724815724,0.21476510067114093
9,2026-01-26T13:47:02.367251,32,1000,5,9.999999747378752e-05,0.4,0.0,0.0,0.7855181097984314,1.3866018056869507,0.7359398603439331,0.6497005820274353,5.72093790769577,0.673341303048416,0.9814855151383141,0.673341303048416,0.7987237436851901,0.3602058319039451,0.17781541066892464,0.3602058319039451,0.23809523809523808,0.6756756756756757,0.14397905759162305,0.6756756756756757,0.2373759171342253
10,2026-01-26T13:55:27.886606,32,1000,5,9.999999747378752e-05,0.0,0.0,0.0,0.9454096555709839,0.9010664224624634,0.657188892364502,0.6284821629524231,1.764113144079844,0.6615361625821877,0.9538892480068951,0.6615361625821877,0.7812582723021265,0.3053173241852487,0.10136674259681093,0.3053173241852487,0.15220179563916203,0.547911547911548,0.1735408560311284,0.547911547911548,0.2635933806146572
