experiment_id,timestamp,batch_size,shuffle_buffer,epochs,learning_rate,dropout_rate,l1,l2,train_loss,val_loss,train_accuracy,val_accuracy,acc_normal,precision_normal,recall_normal,f1_normal,acc_benign,precision_benign,recall_benign,f1_benign,acc_malignant,precision_malignant,recall_malignant,f1_malignant
1,2026-01-25T21:58:25.678227,8,1000,5,9.999999747378752e-05,0.4,0.0,0.0,0.9402115345001221,0.5587645173072815,0.6524112224578857,0.8384535312652588,0.9612970711297071,0.8685027676522209,0.9612970711297071,0.9125469891481666,0.0,0.0,0.0,0.0,0.019656019656019656,0.03125,0.019656019656019656,0.024132730015082957
2,2026-01-25T22:01:31.240579,8,1000,5,9.999999747378752e-05,0.4,0.0,0.0,0.9121009707450867,1.291167974472046,0.6561689376831055,0.4323092997074127,0.41601912731619844,0.9985652797704447,0.41601912731619844,0.5873417721518988,0.45454545454545453,0.08276077451592755,0.45454545454545453,0.14002642007926025,0.6683046683046683,0.1607565011820331,0.6683046683046683,0.2591710338256313
3,2026-01-25T22:04:51.110828,8,1000,5,9.999999747378752e-05,0.4,0.0,0.0,0.9234194755554199,0.9712225794792175,0.6429274678230286,0.6006248593330383,0.6150627615062761,0.9918072289156626,0.6150627615062761,0.7592695074709463,0.3704974271012007,0.1203342618384401,0.3704974271012007,0.18166526492851134,0.6928746928746928,0.16234887737478412,0.6928746928746928,0.2630597014925373
4,2026-01-25T22:07:55.076587,8,1000,5,9.999999747378752e-05,0.4,0.0,0.0,0.9072619676589966,1.0790016651153564,0.6585845947265625,0.5315021872520447,0.5231619844590556,0.9960170697012802,0.5231619844590556,0.68599980405604,0.6192109777015438,0.11770459732637757,0.6192109777015438,0.1978082191780822,0.542997542997543,0.2009090909090909,0.542997542997543,0.29329794293297945
5,2026-01-25T22:10:08.753298,8,1000,5,9.999999747378752e-05,0.4,0.0,0.0,0.9489650130271912,0.5728910565376282,0.6347857117652893,0.7600885033607483,0.8224745965331739,0.9400512382578993,0.8224745965331739,0.8773411970989081,0.21783876500857632,0.1638709677419355,0.21783876500857632,0.187039764359352,0.5110565110565111,0.19771863117870722,0.5110565110565111,0.2851267991775189
6,2026-01-25T22:12:18.757445,8,1000,5,9.999999747378752e-05,0.4,0.0,0.0,0.9215843081474304,1.8969143629074097,0.6459693908691406,0.23873990774154663,0.19381350866706515,1.0,0.19381350866706515,0.3246964576292402,0.45454545454545453,0.08461047254150703,0.45454545454545453,0.1426648721399731,0.6683046683046683,0.08361512450046112,0.6683046683046683,0.14863387978142076
7,2026-01-25T22:18:44.959649,8,1000,10,9.999999747378752e-05,0.4,0.0,0.0,0.8672741651535034,0.7128453850746155,0.6905251741409302,0.7093204855918884,0.7411835026897788,0.9829567974633373,0.7411835026897788,0.8451184188107003,0.3481989708404803,0.17590987868284227,0.3481989708404803,0.2337363270005757,0.7027027027027027,0.19298245614035087,0.7027027027027027,0.3028057173107464
8,2026-01-25T22:22:55.965669,8,1000,10,9.999999747378752e-05,0.4,0.0,0.0,0.8635428547859192,1.3098136186599731,0.6745101809501648,0.42970579862594604,0.41482367005379556,0.991074616208497,0.41482367005379556,0.584851996207732,0.4562607204116638,0.113384484228474,0.4562607204116638,0.1816319562990782,0.6363636363636364,0.10216962524654832,0.6363636363636364,0.1760707002039429
9,2026-01-25T22:26:51.427704,8,1000,10,9.999999747378752e-05,0.4,0.0,0.0,0.8885126709938049,2.309573173522949,0.6778205037117004,0.3635771870613098,0.34668260609683205,0.9978494623655914,0.34668260609683205,0.5145835643783964,0.16638078902229847,0.06108312342569269,0.16638078902229847,0.08935974205435283,0.9238329238329238,0.09976120986999204,0.9238329238329238,0.18007662835249041
10,2026-01-25T22:40:22.955823,8,1000,10,9.999999747378752e-05,0.4,0.0,0.0,0.9724450707435608,0.9147499799728394,0.6612686514854431,0.6448841691017151,0.6839509862522415,0.9541380029184907,0.6839509862522415,0.7967621202889721,0.18867924528301888,0.09212730318257957,0.18867924528301888,0.12380416432189083,0.6560196560196561,0.15789473684210525,0.6560196560196561,0.25452812202097236
