experiment_id,timestamp,seed,task,input_size,batch_size,epochs,learning_rate,dropout_rate,l1,l2,train_loss,val_loss,training_time_min,roc_auc,num_thresholds_meeting_constraints,accuracy,acc_normal,precision_normal,recall_normal,f1_normal,acc_abnormal,precision_abnormal,recall_abnormal,f1_abnormal
1,2026-02-04T16:44:27.588687,0,binary roc-auc,299,32,6,1.9999999494757503e-05,0.5,0.0,0.0,0.17450357973575592,0.1869991421699524,4.610989431540172,0.44545810303615957,0,0.78755532413434,0.8964430436740207,0.8637744034707159,0.8964430436740207,0.8798055678303137,0.07556427870461237,0.10039113428943937,0.07556427870461237,0.08622620380739082
2,2026-02-04T17:00:57.140218,0,binary roc-auc,299,32,6,1.9999999494757503e-05,0.5,0.0,0.0,0.17448729276657104,0.18640486896038055,4.596760408083598,0.44506927288909787,0,0.7885967196042697,0.8977937865826204,0.863826714801444,0.8977937865826204,0.8804827789225788,0.0745829244357213,0.10039630118890357,0.0745829244357213,0.08558558558558559
3,2026-02-04T21:11:29.686915,0,binary roc-auc,299,32,6,1.9999999494757503e-05,0.5,0.0,0.0,0.1744687706232071,0.18787436187267303,4.557118312517802,0.4457211525220127,0,0.7931528247852122,0.9033468407624193,0.8643021252153934,0.9033468407624193,0.8833932633741836,0.07262021589793916,0.10306406685236769,0.07262021589793916,0.08520437535981577
4,2026-02-04T21:22:47.001353,0,binary roc-auc,299,32,6,1.9999999949504854e-06,0.5,0.0,0.0,0.2500216066837311,0.13354137539863586,4.478940037886302,0.45940200869064834,0,0.8305128872689403,0.9543749061984091,0.8643468805219519,0.9543749061984091,0.9071326676176891,0.020608439646712464,0.06461538461538462,0.020608439646712464,0.03125
5,2026-02-04T21:35:22.267387,0,binary roc-auc,299,32,6,1.9999999949504854e-06,0.5,0.0,0.0,0.25000742077827454,0.1341327428817749,4.451887973149618,0.459270999442235,0,0.8303827128351992,0.9540747411076091,0.8644275224367691,0.9540747411076091,0.90704144966826,0.021589793915603533,0.06707317073170732,0.021589793915603533,0.032665181885671864
6,2026-02-04T21:46:58.484199,0,binary roc-auc,299,32,6,1.9999999949504854e-06,0.5,0.0,0.0,0.25002360343933105,0.13362324237823486,4.604841713110606,0.45938418730890807,0,0.8305128872689403,0.9543749061984091,0.8643468805219519,0.9543749061984091,0.9071326676176891,0.020608439646712464,0.06461538461538462,0.020608439646712464,0.03125
7,2026-02-04T21:56:10.586276,0,binary roc-auc,299,32,6,1.9999999949504854e-06,0.5,0.0,0.0,0.2500073313713074,0.13399538397789001,4.4773664752642315,0.45932740927038823,0,0.8303827128351992,0.9540747411076091,0.8644275224367691,0.9540747411076091,0.90704144966826,0.021589793915603533,0.06707317073170732,0.021589793915603533,0.032665181885671864
8,2026-02-04T22:05:38.289982,0,binary roc-auc,299,32,6,1.9999999949504854e-06,0.5,0.0,0.0,0.25000762939453125,0.13375023007392883,4.50353977282842,0.45922298481043866,0,0.8303827128351992,0.9540747411076091,0.8644275224367691,0.9540747411076091,0.90704144966826,0.021589793915603533,0.06707317073170732,0.021589793915603533,0.032665181885671864
9,2026-02-04T22:25:10.824502,0,binary roc-auc,299,32,16,1.9999999949504854e-06,0.5,0.0,0.0,0.180744469165802,0.20529145002365112,11.55596262216568,0.6395757362329458,0,0.2835199166883624,0.18460153084196307,0.9454265949269792,0.18460153084196307,0.3088900050226017,0.930323846908734,0.14856605547719792,0.930323846908734,0.2562162162162162
10,2026-02-04T22:40:08.726440,0,binary roc-auc,299,32,6,1.9999999949504854e-06,0.5,0.0,0.0,0.21509534120559692,145.158203125,4.677298065026601,0.5326712321806434,0,0.32426451444936216,0.2528890889989494,0.8877766069546892,0.2528890889989494,0.3936456021492816,0.7909715407262021,0.13934993084370678,0.7909715407262021,0.23695428487432016
